"GEO_ID","id"
"NAME","Geographic Area Name"
"S2702_C01_001E","Total Civilian Noninstitutionalized Population!!Estimate!!Total population"
"S2702_C01_001M","Total Civilian Noninstitutionalized Population!!Margin of Error!!Total population"
"S2702_C01_002E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!Under 18 years"
"S2702_C01_002M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!Under 18 years"
"S2702_C01_003E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!Under 18 years!!Under 6 years"
"S2702_C01_003M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!Under 18 years!!Under 6 years"
"S2702_C01_004E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!Under 18 years!!6 to 17 years"
"S2702_C01_004M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!Under 18 years!!6 to 17 years"
"S2702_C01_005E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!18 to 64 years"
"S2702_C01_005M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!18 to 64 years"
"S2702_C01_006E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!18 to 64 years!!18 to 24 years"
"S2702_C01_006M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!18 to 64 years!!18 to 24 years"
"S2702_C01_007E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!18 to 64 years!!25 to 34 years"
"S2702_C01_007M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!18 to 64 years!!25 to 34 years"
"S2702_C01_008E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!18 to 64 years!!35 to 44 years"
"S2702_C01_008M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!18 to 64 years!!35 to 44 years"
"S2702_C01_009E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!18 to 64 years!!45 to 54 years"
"S2702_C01_009M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!18 to 64 years!!45 to 54 years"
"S2702_C01_010E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!18 to 64 years!!55 to 64 years"
"S2702_C01_010M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!18 to 64 years!!55 to 64 years"
"S2702_C01_011E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!65 years and older"
"S2702_C01_011M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!65 years and older"
"S2702_C01_012E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!65 years and older!!65 to 74 years"
"S2702_C01_012M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!65 years and older!!65 to 74 years"
"S2702_C01_013E","Total Civilian Noninstitutionalized Population!!Estimate!!AGE!!65 years and older!!75 years and older"
"S2702_C01_013M","Total Civilian Noninstitutionalized Population!!Margin of Error!!AGE!!65 years and older!!75 years and older"
"S2702_C01_014E","Total Civilian Noninstitutionalized Population!!Estimate!!Median age (years)"
"S2702_C01_014M","Total Civilian Noninstitutionalized Population!!Margin of Error!!Median age (years)"
"S2702_C01_015E","Total Civilian Noninstitutionalized Population!!Estimate!!SEX!!Male"
"S2702_C01_015M","Total Civilian Noninstitutionalized Population!!Margin of Error!!SEX!!Male"
"S2702_C01_016E","Total Civilian Noninstitutionalized Population!!Estimate!!SEX!!Female"
"S2702_C01_016M","Total Civilian Noninstitutionalized Population!!Margin of Error!!SEX!!Female"
