"recordid","date","full_name","last","first","Payee_NamL","Expn_Dscr","baldesig","elected_to_office","incumb","office_type_fin","Filer_ID","Filer_NamL","From_Date","Thru_Date","Rec_Type","Tran_ID","Entity_Cd","Payee_NamF","Expn_Date","Expn_Code","Amount"
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","Blair","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP24761","IND","Michele",2010-11-05,"IND",625
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","Political Data, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP25013","OTH",NA,2010-10-19,"IND",260.98
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP24979","OTH",NA,2010-10-19,"IND",360.48
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP24985","OTH",NA,2010-10-19,"IND",762.72
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP24991","OTH",NA,2010-10-19,"IND",890.88
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP24999","OTH",NA,2010-10-19,"IND",865.76
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP25006","OTH",NA,2010-10-19,"IND",865.76
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-10-17,2010-12-31,"EXPN","EXP24547","OTH",NA,2010-10-22,"IND",520.87
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-07-01,2010-10-16,"EXPN","EXP24525","OTH",NA,2010-10-14,"IND",520.88
201001996,2010-11-02,"Kevin McKeown","McKeown","Kevin","T/O Printing, Mailing & Direct Solutions, Inc.","Mailer/Kevin McKeown/City Council/City of Santa Monica/Support","Councilmember/Education Consultant",TRUE,"Y","City Council","1225795","Santa Monica Police Officers Association for a Better Community",2010-07-01,2010-10-16,"EXPN","EXP24533","OTH",NA,2010-10-14,"IND",1456.32
